store_id,user_id,grade,detail
22,178,4.6,Curabitur gravida nisi at nibh.
29,53,1.1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
32,124,3.8,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
145,129,1.7,Suspendisse potenti.
103,87,2.2,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
74,74,2.3,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
85,5,2.4,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
54,74,2.2,Vivamus in felis eu sapien cursus vestibulum.
28,128,1.8,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
64,90,2.8,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
165,123,3.8,Nunc purus. Phasellus in felis.
23,103,1.8,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
100,24,4.5,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
61,154,2.5,Duis consequat dui nec nisi volutpat eleifend.
9,12,2.8,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
20,167,2.8,Proin risus. Praesent lectus.
45,69,2.5,Pellentesque viverra pede ac diam.
148,10,3.9,Etiam faucibus cursus urna.
33,153,3.7,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
89,3,1.1,Maecenas pulvinar lobortis est.
60,146,1.5,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
85,139,2.9,Duis aliquam convallis nunc.
36,91,4.4,Aenean sit amet justo. Morbi ut odio.
155,188,3.7,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
161,135,3.7,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
76,8,2.9,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
144,37,3.6,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
72,40,1.1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
31,175,1.3,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
111,195,1.1,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
49,85,4.3,Curabitur convallis.
81,173,3.4,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
155,193,3.9,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
38,40,4.7,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
154,4,3.1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
170,122,4.7,Nullam varius.
131,64,2.6,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
17,61,2.1,Curabitur in libero ut massa volutpat convallis.
23,178,4.4,Nulla justo.
141,3,3.5,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
155,191,1.1,Vestibulum sed magna at nunc commodo placerat.
4,51,2.8,Etiam faucibus cursus urna. Ut tellus.
66,27,2.1,Proin eu mi. Nulla ac enim.
93,168,2.3,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
95,40,2.3,Nunc purus. Phasellus in felis. Donec semper sapien a libero.
151,120,4.9,Donec vitae nisi.
133,193,4.8,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
3,1,3.6,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
139,44,2.3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
47,75,1.4,Suspendisse potenti.
16,60,2.8,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
30,71,1.1,Quisque ut erat. Curabitur gravida nisi at nibh.
155,161,3.8,Duis consequat dui nec nisi volutpat eleifend.
160,3,3.9,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
150,15,2.1,Nulla suscipit ligula in lacus.
110,70,1.4,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
167,192,1.2,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
134,145,3.8,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
140,140,4.4,In congue. Etiam justo. Etiam pretium iaculis justo.
56,11,1.0,Phasellus id sapien in sapien iaculis congue.
34,140,3.6,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
89,22,4.1,Aenean auctor gravida sem.
23,71,1.6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
22,113,1.4,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
40,62,4.2,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
122,179,2.1,Ut at dolor quis odio consequat varius. Integer ac leo.
117,193,2.0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
87,22,4.8,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
98,57,3.6,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
